Addison Road,,B54.718526124954224,B54.68781304359436,S54.79339337348938,B493.6937391757965,B54.991488456726074,S548.3812658786774,S54.71249508857727,S55.35874152183533,S1097.918229341507,S54.98848915100098,B1043.103440284729,B55.14927363395691,S219.4682755470276,B823.689768075943,S54.921093225479126,S604.1340193748474,B274.22906279563904,B54.87328553199768,B329.41782999038696,B55.01565885543823,S384.0463182926178,S603.4013752937317,B547.856906414032,S54.43068075180054,B54.318081855773926,B546.0701687335968,B54.68070650100708,S601.1024930477142,S381.8069107532501,S55.06883215904236,B601.200591802597,B54.602036476135254,B656.4356503486633,S656.7437088489532,S54.51028275489807,S546.8746068477631,S55.01216959953308,B603.5284135341644,
Anacostia,,G164.27697610855103,G55.06799364089966,G274.04410696029663,G54.792436838150024,G274.171448469162,G383.66302514076233,G274.2036623954773,G54.92857813835144,G384.2689251899719,G55.21614193916321,G275.07598304748535,G55.0037157535553,G329.80554008483887,G439.1632490158081,G383.77664041519165,G54.69205904006958,G55.029130935668945,G219.67291450500488,G54.73121929168701,G329.0990643501282,G54.620033979415894,G54.441476345062256,G218.78557205200195,G54.308815717697144,G217.601544380188,G54.890745878219604,G382.64269065856934,G54.435689210891724,G273.54574489593506,G54.82606768608093,G273.17627024650574,G55.19112730026245,G437.8443055152893,G54.50956869125366,G54.50956654548645,G275.189350605011,G54.713292360305786,
Archives-Navy Memorial-Penn Quarter,,G54.967506408691406,G55.05198287963867,Y54.71674203872681,Y54.7777042388916,G219.20324087142944,G219.01620841026306,G54.8649480342865,G55.240882873535156,Y219.54035019874573,Y219.47373723983765,Y54.711092948913574,Y54.89024877548218,G274.7614414691925,G329.0334792137146,G54.577178716659546,Y384.0742619037628,Y494.1904327869415,G219.9615125656128,Y54.6706440448761,G55.08082056045532,G494.10277795791626,Y274.942617893219,Y219.99351692199707,G274.4593470096588,G384.35146951675415,G54.805867433547974,Y274.2446401119232,Y55.12466526031494,Y548.8944616317749,G329.42999935150146,G329.2594168186188,Y274.1347529888153,Y55.0953631401062,Y219.37536525726318,Y55.29042673110962,G329.10396099090576,G54.61581349372864,G328.59843349456787,G54.30419087409973,Y381.83033084869385,Y326.41951990127563,Y54.60255575180054,Y54.67881464958191,G436.23696851730347,G55.14918351173401,G437.0945203304291,G54.64774990081787,Y383.1166443824768,Y383.25346422195435,Y54.68354916572571,Y54.57181715965271,Y54.604007959365845,G273.3861994743347,G54.615649461746216,Y164.5236155986786,Y54.72207236289978,G547.0167274475098,Y547.8369045257568,G329.673526763916,G219.7546787261963,G55.20903205871582,Y219.76516222953796,
Arlington Cemetery,,B55.047590017318726,B54.76029062271118,B603.2975254058838,B548.5372362136841,B54.56718730926514,B549.8381881713867,B54.64708685874939,B659.0524623394012,B54.905174016952515,B54.90517258644104,B384.0789453983307,B712.6689052581787,B54.30266880989075,B382.6549389362335,B819.9937674999237,B54.44620060920715,B492.62085938453674,B54.75471782684326,B547.375580072403,B55.11274766921997,
Ashburn,,S54.807355880737305,S55.05811882019043,S54.50734233856201,S55.11908578872681,S54.677114963531494,S327.1026566028595,S54.61327075958252,
Ballston-MU,,O54.49438810348511,S54.952940464019775,O383.47179794311523,O54.90043807029724,O603.7968947887421,S603.7733111381531,S493.8171854019165,S54.55615472793579,O548.8905184268951,O549.1013779640198,O54.93427562713623,S549.8358998298645,S658.9829387664795,S54.6595253944397,O714.1147541999817,O439.2147970199585,O54.746092319488525,S548.7787973880768,S55.3068630695343,S713.1876564025879,S54.61404085159302,O547.8808691501617,O54.30093002319336,O655.743332862854,S545.2806720733643,S55.15457057952881,S545.839607000351,S54.62241053581238,O546.5597019195557,O54.68649744987488,O601.8349916934967,O54.61577343940735,S656.949214220047,S657.6889455318451,S55.267894983291626,O658.0923130512238,
Benning Road,,B54.897194623947144,S548.3566024303436,S54.5501229763031,B493.81993865966797,B55.07089614868164,S275.0746111869812,S55.00411581993103,S659.036542892456,B329.8733711242676,S54.91554498672485,B55.13908362388611,S439.3207583427429,B824.1693699359894,S549.032154083252,B548.4015727043152,B55.11509418487549,B383.85244822502136,S548.2484772205353,B54.61761951446533,S54.420636892318726,B54.42063903808594,B546.1377248764038,S655.7613236904144,B54.74488353729248,B491.4855389595032,B54.55193543434143,S600.9132211208344,S54.634698152542114,S437.44009041786194,S54.610790729522705,B656.6051399707794,B54.76090955734253,B602.6119585037231,S548.1690499782562,B55.067535161972046,S55.273969650268555,S548.9020335674286,
Bethesda,,R54.84373331069946,R273.98038482666016,R54.678715467453,R438.7659170627594,R54.69296956062317,R384.8146402835846,R54.34348726272583,R109.54872441291809,R383.90706610679626,R55.11843419075012,R55.118433237075806,R55.179574728012085,R54.96518015861511,R274.90725445747375,R54.91096472740173,R384.23338294029236,R55.12498641014099,R274.2390944957733,R55.2176034450531,R274.30663108825684,R274.10031151771545,R55.11448550224304,R164.6799602508545,R54.67009401321411,R219.03024172782898,R218.7945659160614,R54.28309726715088,R272.0227313041687,R55.142038345336914,R382.6573176383972,R218.81738591194153,R54.60732364654541,R54.48082184791565,R109.35736393928528,R54.621745586395264,R273.3828704357147,R54.63700342178345,R218.52158522605896,R55.172791719436646,R274.5864534378052,R55.07141137123108,R329.76830792427063,R54.62313938140869,
Braddock Road,,Y55.03942084312439,B55.031359910964966,B493.50713992118835,B54.85200119018555,Y603.2079477310181,Y438.7029459476471,Y55.1188805103302,Y219.0579605102539,Y329.00687551498413,Y55.12270665168762,Y55.12270712852478,B439.31096720695496,B54.9624125957489,B603.8706243038177,B54.80781650543213,Y274.90347957611084,Y54.89927434921265,Y329.8027515411377,Y55.17066287994385,Y329.46043157577515,Y274.28976821899414,Y54.81236958503723,Y54.81237053871155,B604.0837771892548,B54.77377986907959,B768.7195289134979,Y274.40841579437256,Y54.896360874176025,Y493.4411051273346,B491.37737917900085,B546.4315347671509,B54.68588924407959,Y217.40993475914001,Y436.1576609611511,Y54.61139941215515,Y55.1540470123291,Y164.48663520812988,Y54.869616746902466,Y273.29128551483154,Y54.873790979385376,B492.546746969223,B54.61314368247986,Y273.14196157455444,Y437.10483264923096,Y55.230653047561646,Y55.23065137863159,B875.7392466068268,B54.7502338886261,Y219.3532361984253,Y274.421425819397,Y55.06818962097168,Y55.28710579872131,B220.20807671546936,B54.6184024810791,
Branch Ave,,G1427.2722578048706,G1422.1436743736267,G55.27731943130493,
