Addison Road,,S54.87885761260986,S55.127559423446655,B548.2782185077667,B55.05485916137695,B548.6360590457916,B54.70877695083618,S493.7892985343933,S55.09754395484924,S603.3845155239105,B604.5013737678528,B714.9505686759949,S659.391016960144,S54.75485110282898,S604.5206356048584,S54.617971658706665,B495.01226568222046,B55.00880527496338,B439.84550881385803,B55.14092183113098,S440.6964716911316,S54.65979337692261,S605.1922738552094,S54.85577607154846,B549.151932477951,B439.0286011695862,B54.84572792053223,B54.845725774765015,S549.9378132820129,S660.0116286277771,S54.848018169403076,B550.1522581577301,B550.1522603034973,B54.640636920928955,B54.640634536743164,B329.9871106147766,S604.0965089797974,S55.16802406311035,
Anacostia,,G55.047117710113525,G55.119991302490234,G219.2883493900299,G219.42608380317688,G383.42474007606506,G55.24983334541321,G329.8252184391022,G54.95147109031677,G329.5316379070282,G54.80384016036987,G219.72402000427246,G54.85960125923157,G54.90975022315979,G330.21320033073425,G54.68719220161438,G164.950510263443,G55.36509871482849,G385.2346498966217,G55.00618386268616,G384.8889002799988,G329.88271474838257,G54.8508095741272,G329.24509358406067,G55.26891613006592,G329.6631989479065,G54.921379804611206,G274.8633155822754,G384.8056254386902,G55.02093005180359,G164.67063808441162,G54.87952017784119,G494.4162108898163,G55.344178438186646,
Archives-Navy Memorial-Penn Quarter,,Y54.71265435218811,G55.055858850479126,Y274.641161441803,Y329.229590177536,Y54.983174085617065,G329.3231062889099,G328.81811904907227,G54.82896304130554,Y383.4299645423889,G329.53246331214905,Y384.35001850128174,Y55.00603222846985,G439.87871766090393,Y384.7820143699646,Y219.3783824443817,G219.67468452453613,G54.867493867874146,G494.2682683467865,Y219.97674202919006,Y55.37967038154602,Y385.0165512561798,G274.49882674217224,G55.10189723968506,G329.60072231292725,Y274.548522233963,G55.23791480064392,Y55.29070782661438,Y330.0098557472229,G330.600225687027,G54.9458224773407,G330.30813336372375,G54.652305364608765,Y384.9078142642975,Y384.8211648464203,G164.8499321937561,Y54.67444849014282,G54.86835551261902,G329.1703190803528,Y274.3359830379486,Y54.903888463974,Y219.62802243232727,Y55.27474308013916,G220.14684414863586,G330.03832268714905,G55.091753244400024,G55.13451433181763,Y275.5390067100525,Y220.26426196098328,Y54.852941036224365,G329.2457218170166,G55.087186098098755,G439.4674234390259,G54.87999987602234,Y439.2224190235138,Y54.82488560676575,Y494.38535618782043,G165.1512222290039,G54.86146140098572,G329.7417986392975,Y164.90156650543213,G55.43501424789429,Y55.43501543998718,Y219.95762300491333,Y54.81203532218933,Y54.98103141784668,Y54.98102951049805,
Arlington Cemetery,,B603.6521413326263,B494.3466444015503,B54.90877366065979,B54.90877151489258,B274.67612051963806,B54.86606550216675,B549.3577470779419,B54.675480365753174,B660.2741928100586,B54.85639762878418,B495.31143498420715,B55.23144197463989,B714.6825909614563,B54.853394985198975,B769.3112399578094,B54.95812129974365,B659.5337660312653,B604.6892960071564,B54.7775297164917,
Ashburn,,
Ballston-MU,,S54.43564462661743,O54.48181915283203,O603.5962159633636,S768.3424472808838,O549.3917317390442,O54.779457807540894,S823.9265494346619,O659.3014471530914,O55.4003050327301,S494.3692305088043,S384.4542248249054,S55.231839179992676,O549.9216547012329,O494.98455905914307,S495.3307206630707,S384.954745054245,S54.657753229141235,S55.235788106918335,S55.235788345336914,O549.7907185554504,O54.89660835266113,O548.9949069023132,O55.274476528167725,S549.6664290428162,S55.13225531578064,S769.3272469043732,O824.3619484901428,O55.135926246643066,O714.5638291835785,S658.9222528934479,O329.98483443260193,S659.652163028717,
Benning Road,,B55.14631485939026,B54.431517362594604,S54.47675061225891,S548.5237996578217,B603.4725961685181,B55.191439151763916,B549.4624605178833,S604.1723754405975,S54.98059940338135,S604.1006343364716,S55.25668168067932,B384.24486565589905,B54.8806209564209,B55.48775911331177,B54.782153606414795,B714.1414725780487,B55.38863921165466,S660.526801109314,S605.2701196670532,B549.9713950157166,B54.655001640319824,B384.81309604644775,B54.92928385734558,S493.8882291316986,S549.0712161064148,S55.18298816680908,S54.79411172866821,S54.794111490249634,B549.782918214798,B55.13114261627197,B494.7341923713684,B55.130465269088745,B329.38071393966675,B54.964378356933594,S604.748871088028,S54.85560488700867,B549.2134130001068,B54.87705183029175,S1099.7229006290436,S54.96360659599304,
Bethesda,,R55.142170429229736,R109.961740732193,R54.884684324264526,R54.432528495788574,R55.033164978027344,R273.6558611392975,R274.3235082626343,R275.0017502307892,R274.85372138023376,R54.70345091819763,R329.1645300388336,R54.9843647480011,R219.92262244224548,R54.821009159088135,R440.0016465187073,R329.94468665122986,R54.93079471588135,R165.60352444648743,R54.85049629211426,R330.2844274044037,R54.64976191520691,R219.74422359466553,R164.85013103485107,R54.90927028656006,R329.48124146461487,R220.01465129852295,R55.00016927719116,R220.1863136291504,R55.127143144607544,R220.2374312877655,R54.55870008468628,R219.48979139328003,R54.76250386238098,R54.96316909790039,R329.69120812416077,R55.08523225784302,R54.91598558425903,R219.98855924606323,R54.88274550437927,R54.84933686256409,R220.2248342037201,R54.76129102706909,R55.021467208862305,
Braddock Road,,B54.73266363143921,Y54.80835509300232,B329.2184133529663,Y273.6639242172241,Y55.04628658294678,Y548.9226644039154,Y329.9621214866638,Y54.96160674095154,Y219.32754349708557,B713.6916069984436,B54.97958588600159,Y329.33796310424805,B769.3079783916473,Y54.82995057106018,Y274.74329257011414,Y55.47044062614441,Y275.00064182281494,Y54.9280481338501,B605.2688205242157,B55.268810987472534,Y440.07321071624756,B605.2128942012787,B54.979517459869385,Y219.33003973960876,Y440.30633521080017,Y55.361332654953,Y54.837271213531494,B439.2400207519531,Y274.6177079677582,B55.087523460388184,Y54.95591330528259,Y384.4108922481537,B714.0978360176086,Y54.99557161331177,B55.02350044250488,Y329.8097348213196,Y439.7760331630707,Y54.97072649002075,Y54.76590275764465,B549.4978497028351,B54.95071339607239,B494.33114075660706,Y439.65732645988464,Y440.13228392601013,Y55.240859031677246,Y55.04435658454895,Y54.74902081489563,
Branch Ave,,G714.2600951194763,G2307.4436745643616,G989.4747974872589,
