Addison Road,,B53.68232178688049,
Anacostia,,
Archives-Navy Memorial-Penn Quarter,,
Arlington Cemetery,,
Ashburn,,
Ballston-MU,,
Benning Road,,
Bethesda,,
Braddock Road,,
Branch Ave,,
Brookland-CUA,,
Capitol Heights,,
Capitol South,,
Cheverly,,
Clarendon,,
Cleveland Park,,
College Park-U of Md,,G53.81840705871582,
Columbia Heights,,
Congress Heights,,
Court House,,
Crystal City,,
Deanwood,,
Downtown Largo,,S52.767561197280884,S52.97542333602905,S52.940356731414795,S52.81946682929993,S52.75579237937927,S52.904043674468994,S52.973652839660645,S52.95871949195862,S52.915196895599365,S52.748188972473145,S52.9047486782074,B53.487823486328125,S2868.037342309952,
Dunn Loring-Merrifield,,
Dupont Circle,,
East Falls Church,,
Eastern Market,,
Eisenhower Avenue,,Y535.7754247188568,
Farragut North,,
Farragut West,,
Federal Center SW,,
Federal Triangle,,
Foggy Bottom-GWU,,
Forest Glen,,
Fort Totten,,
Franconia Springfield,,B53.615872383117676,
Friendship Heights,,
Gallery PI-Chinatown,,
Georgia Ave-Petworth,,
Glenmont,,
Greenbelt,,
Greensboro,,
Grosvenor-Strathmore,,
Herndon,,
Huntington,,
Hyattsville Crossing,,
Innovation Center,,S53.76321506500244,
Judiciary Square,,
King St-Old Town,,
L'Enfant Plaza,,
Landover,,O53.68268632888794,
Loudoun Gateway,,S53.772032260894775,
McLean,,
McPherson Square,,
Medical Center,,
Metro Center,,
Minnesota Ave,,
Morgan Boulevard,,B53.38272523880005,
Mt Vernon Sq 7th St-Convention Center,,
Navy Yard-Ballpark,,
Naylor Road,,
New Carrollton,,
NoMA-Gallaudet U,,
North Bethesda,,
Pentagon,,
Pentagon City,,
Potomac Ave,,
Potomac Yard,,
Reston Town Center,,
Rhode Island Ave-Brentwood,,
Rockville,,R53.766441345214844,
Ronald Regan Washington National Airport,,
Rosslyn,,
Shady Grove,,
Shaw-Howard U,,
Silver Spring,,
Silver Spring Transit Center,,
Smithsonian,,
Southern Avenue,,
Spring Hill,,
Stadium-Armory,,
Suitland,,G53.618178844451904,
Takoma,,
Tenleytown-AU,,
Twinbrook,,
Tysons,,
U Street-Cardozo,,
Union Station,,
Van Dorn Street,,
Van Ness-UDC,,
Vienna/Fairfax-GMU,,O53.6528594493866,
Virginia Square-GMU,,
Washington Dulles International Airport,,
Waterfront,,
West Falls Church,,
West Hyattsville,,
Wheaton,,
Wiehle-Reston East,,
Woodley Park-Zoo/Adams Morgan,,
