Addison Road,,S54.39838242530823,B54.16474533081055,S380.34077739715576,S54.303420543670654,S597.6001896858215,B54.5126633644104,B761.217789888382,S706.8374786376953,S54.16401219367981,S652.4438815116882,B434.5825505256653,B434.5825517177582,B54.4039671421051,B54.40396571159363,S488.90934014320374,S54.14319658279419,S543.0525367259979,B488.81026887893677,B543.197184085846,B54.3869149684906,B54.419530391693115,S544.7015907764435,S54.05671310424805,S653.1303279399872,B598.8922505378723,B598.5646231174469,B54.09190392494202,B54.47035264968872,S380.33641505241394,S54.135225772857666,B217.01814603805542,S597.6100933551788,B54.11146807670593,S54.111469745635986,B54.41689705848694,B597.6546404361725,B54.40655994415283,
Anacostia,,G54.41896963119507,G162.7861728668213,G54.43192386627197,G380.2831311225891,G54.46582651138306,G325.98151421546936,G54.524293422698975,G326.14742136001587,G54.36560106277466,G271.75188755989075,G163.0374472141266,G54.52306795120239,G54.523070335388184,G488.9728105068207,G54.38754749298096,G543.3603572845459,G54.10794520378113,G108.67634868621826,G54.12967848777771,G325.56465792655945,G54.4189510345459,G217.51989340782166,G54.38463306427002,G272.33501172065735,G54.76038312911987,G326.94656014442444,G54.2980055809021,G325.94147276878357,G54.69477891921997,G162.68202233314514,G54.12927842140198,G434.46349120140076,G54.54275107383728,G54.221879720687866,G163.03415894508362,G54.35068726539612,G489.3346817493439,G54.209129095077515,G380.752046585083,
Archives-Navy Memorial-Penn Quarter,,G54.41564965248108,Y217.2066774368286,Y54.464309215545654,Y54.31699562072754,G271.62266659736633,Y54.09550976753235,G54.09551119804382,Y54.45735478401184,G325.99586629867554,G54.521328926086426,Y163.26275873184204,Y54.376245975494385,G163.22291922569275,G54.09274244308472,Y163.0283567905426,G435.1247136592865,Y54.5426459312439,G54.54264831542969,Y54.29005312919617,Y54.37593913078308,Y815.4643337726593,G272.00869631767273,G54.19010329246521,G217.23331427574158,G54.47716307640076,G54.47716236114502,Y271.5914294719696,Y325.91163206100464,Y54.37480282783508,G217.24194741249084,G271.6371693611145,G54.395220041275024,G54.108296155929565,Y217.19852209091187,G325.5655391216278,Y488.83468198776245,Y380.33116912841797,Y54.38384962081909,Y54.383848428726196,G489.1311411857605,G54.727784156799316,Y163.50005745887756,Y54.76260709762573,G436.06510376930237,G217.80636310577393,G54.14294219017029,G54.28768873214722,Y217.24801969528198,Y435.5106842517853,Y54.31019163131714,G217.24532389640808,G271.7333197593689,Y217.46059370040894,G54.46229410171509,Y271.75645637512207,Y54.12387013435364,Y217.26796555519104,G488.81475472450256,G434.4115114212036,Y271.6058394908905,G54.38737225532532,Y54.38737511634827,Y434.94331097602844,G272.0264925956726,G163.01884722709656,G54.21446347236633,Y163.0930118560791,Y54.26752281188965,
Arlington Cemetery,,B597.4939656257629,B54.506094455718994,B706.4167454242706,B54.3234760761261,B271.7301096916199,B54.423884868621826,B543.6704382896423,B54.36136984825134,B652.0015816688538,B542.8422884941101,B54.40731406211853,B272.3430075645447,B652.981241941452,B54.77224040031433,B54.54250645637512,B597.4200863838196,B869.2381269931793,B54.48691749572754,B326.0184941291809,
Ashburn,,S54.27594065666199,
Ballston-MU,,S54.189682960510254,S54.43893599510193,O54.31252098083496,S326.04405879974365,S54.1195547580719,O380.36244773864746,S489.09434509277344,O54.41937804222107,S54.31034231185913,O652.2404608726501,S652.6667952537537,S54.35626244544983,S706.5385613441467,O760.8489010334015,S54.37186813354492,O54.371867656707764,O597.8916625976562,O54.111520290374756,S488.7742326259613,S54.11816763877869,S325.5163700580597,O379.97948241233826,O54.40988302230835,O489.2470886707306,O54.609454870224,S544.672890663147,S598.8642430305481,S54.26885533332825,O598.666898727417,O489.7414197921753,S488.9794454574585,S54.262115716934204,S651.6217758655548,O652.1466972827911,O54.246718406677246,O651.9194357395172,
Benning Road,,S54.191731452941895,B54.191731214523315,B380.15014123916626,B54.473198652267456,B54.42054748535156,B54.301533937454224,S706.7602894306183,S598.0120198726654,S54.08259654045105,B380.63846015930176,B54.351675033569336,B761.3619356155396,S489.2222170829773,B54.079827308654785,S54.30998110771179,S651.9884452819824,S54.39530563354492,B543.1365087032318,B54.11664080619812,B380.01637959480286,B54.33462476730347,S488.83494877815247,S54.536282777786255,S706.7560057640076,B490.36187767982483,B544.6964998245239,B54.16445350646973,B54.164453744888306,S380.6896424293518,S54.51915621757507,S544.3537979125977,B326.1277446746826,S54.20110821723938,B597.5123414993286,B651.9468040466309,S651.9468066692352,B54.198702573776245,S54.198700189590454,B54.55800008773804,
Bethesda,,R325.8695619106293,R271.6110873222351,R271.8644359111786,R54.40310335159302,R272.137006521225,R217.3117458820343,R54.06913495063782,R54.56150197982788,R163.4265878200531,R54.218127489089966,R326.1162545681,R54.47553539276123,R162.7632119655609,R54.387187480926514,R434.6589756011963,R108.51528573036194,R54.31473135948181,R325.58380246162415,R54.41992521286011,R271.65469670295715,R54.34394812583923,R327.1063973903656,R218.28146243095398,R54.5313024520874,R54.53130316734314,R162.7158968448639,R54.32598924636841,R217.04188776016235,R271.7494533061981,R54.11142086982727,R380.34737491607666,R54.28916311264038,R217.28806328773499,R380.56454706192017,R435.1675112247467,
Braddock Road,,Y54.479034423828125,Y325.93058490753174,Y54.292001485824585,B54.35502219200134,B652.0344388484955,Y271.8118541240692,Y435.04121828079224,B217.64249992370605,Y54.06586170196533,B54.06586027145386,Y163.4268093109131,Y54.21682119369507,Y434.97237515449524,Y163.02136969566345,Y54.49307417869568,Y163.1889271736145,Y54.05335235595703,B706.523886680603,B54.39563226699829,B597.9162919521332,B54.39226770401001,Y271.26015424728394,B488.86217069625854,B54.34276843070984,Y489.2347002029419,Y54.64017391204834,B597.9845416545868,Y815.5972232818604,Y54.60581994056702,Y272.0676701068878,Y162.94630122184753,Y54.29549288749695,Y217.56738805770874,B761.6163280010223,B652.4444601535797,B54.101054430007935,Y488.9601819515228,Y54.304391860961914,Y379.90917563438416,Y54.48324275016785,B380.3920114040375,B54.2216854095459,B489.3558497428894,Y489.3123655319214,Y54.35814619064331,Y54.428874015808105,Y435.1086597442627,
Branch Ave,,G54.35923719406128,G54.4342257976532,G380.6940767765045,G271.6662425994873,G54.51113796234131,G651.8391897678375,G924.666974067688,G380.13102626800537,G54.09628081321716,G435.2153551578522,G54.35265564918518,G2174.1240997314453,
Brookland-CUA,,R54.424251556396484,R325.9189977645874,R217.27279615402222,R54.30100703239441,R54.30100655555725,R271.8035776615143,R271.8035774230957,R54.437665939331055,R54.43766641616821,R54.52040958404541,R217.57324504852295,R54.43533539772034,R380.38815784454346,R54.32476353645325,R217.22474837303162,R54.5172164440155,R162.87451767921448,R217.14131546020508,R54.10220170021057,R217.3088195323944,R54.282845973968506,R217.17164182662964,R325.8770911693573,R218.00206756591797,R54.5095911026001,R272.5116608142853,R271.85141706466675,R54.48350811004639,R326.33492493629456,R54.36155986785889,R163.08911180496216,R54.32169055938721,R271.34091806411743,R54.46871757507324,R325.59087204933167,R326.1705048084259,R217.81518816947937,R54.239786863327026,
Capitol Heights,,S54.28635573387146,S597.7325630187988,B54.067058086395264,S761.2269034385681,B761.2235491275787,B54.325140953063965,B380.801109790802,B54.35431218147278,S652.4701540470123,S54.049662828445435,S542.9894254207611,B434.4485034942627,S488.6827416419983,B597.1294162273407,S54.397013902664185,B543.8827521800995,S707.4918434619904,B544.3578915596008,S544.3578910827637,B54.49025797843933,S54.49025797843933,B54.36241292953491,S380.30996561050415,S54.33722257614136,B652.4388568401337,B271.47993206977844,S651.9743146896362,S54.35444760322571,B652.2084164619446,
Capitol South,,B54.393840312957764,O54.28403687477112,O54.277273654937744,B54.27727437019348,S54.30774974822998,O380.20754742622375,B488.6690628528595,O54.177480936050415,B54.60582184791565,O434.7109167575836,O54.379963397979736,B543.3669471740723,S489.2266731262207,S54.51853799819946,S543.7452125549316,S54.054359912872314,B489.4841752052307,O544.0899972915649,B54.210819482803345,O489.25946521759033,B434.98339772224426,O54.37612771987915,S543.5339274406433,S54.50862145423889,S706.3498153686523,S54.12258195877075,B543.2078850269318,B54.25836157798767,O651.6770644187927,O54.31848096847534,O597.2473692893982,O54.31847906112671,S380.37021493911743,B869.2771091461182,B380.53044843673706,B54.65833330154419,S652.2523174285889,S54.49770736694336,O490.0016305446625,O54.47355127334595,O490.2070732116699,B326.8719425201416,O54.2517523765564,B54.251749753952026,S435.24870443344116,B543.9236841201782,S54.17727255821228,B488.95741057395935,B54.29953408241272,S1032.9325830936432,O705.8210911750793,S54.42482352256775,O54.424822092056274,O706.4247095584869,O54.33539366722107,S543.250869512558,S217.820698261261,S54.49693560600281,S54.39830231666565,B706.3129239082336,B54.41930174827576,O326.1602432727814,O435.13244247436523,O54.44560146331787,O54.44560170173645,
Cheverly,,O54.26091003417969,O54.311562061309814,O489.22405529022217,O54.52204346656799,O869.8363697528839,O543.2621352672577,O54.32310342788696,O488.8634419441223,O54.1189501285553,O489.2279155254364,O54.65496563911438,O706.7590887546539,O54.49390745162964,O435.2512056827545,O543.9241971969604,O597.7385330200195,O54.414084911346436,O814.9083359241486,O54.328625440597534,
Clarendon,,O54.39674782752991,S54.32698154449463,S54.47814154624939,O380.21274304389954,O54.27724504470825,S435.0823986530304,S54.04169058799744,S652.3310921192169,S54.44153666496277,O652.6496796607971,O54.14527750015259,O761.183111667633,O54.46945786476135,S543.310914516449,S706.4186873435974,S54.43281173706055,O380.04577231407166,O54.26544189453125,O597.4866325855255,O54.149319648742676,S325.9446692466736,S54.44304847717285,S598.0081930160522,S54.4927773475647,O544.3200895786285,O490.2934274673462,O54.44046354293823,O54.23784565925598,S489.9059715270996,S54.36065435409546,S543.7559266090393,O434.62474370002747,S54.18798494338989,O54.24438142776489,O651.8023188114166,O54.028860330581665,S597.5999522209167,S597.7975323200226,O597.9649727344513,O54.334510803222656,O489.5752773284912,
Cleveland Park,,R54.39142441749573,R54.251057863235474,R217.22114777565002,R54.32870697975159,R162.9652647972107,R217.140855550766,R217.41035962104797,R54.60081076622009,R54.44079303741455,R272.01008105278015,R271.6108748912811,R54.04158663749695,R54.53746247291565,R163.4293167591095,R54.37520241737366,R271.79927110671997,R54.469486236572266,R162.73143696784973,R325.73313641548157,R54.532469511032104,R54.532469272613525,R162.77885746955872,R54.266918897628784,R325.51188468933105,R54.465160608291626,R217.1937198638916,R54.633251905441284,R163.19353556632996,R54.40390181541443,R272.49788999557495,R54.42995762825012,R380.9966857433319,R162.7705729007721,R54.50038981437683,R54.50039005279541,R325.84382247924805,R325.8438239097595,R54.31340956687927,R54.31340765953064,R108.40768599510193,R54.421687602996826,R380.63478207588196,R380.81165742874146,R163.0062484741211,R54.343589544296265,R54.343590259552,R54.576762199401855,
College Park-U of Md,,G325.86987948417664,G434.5851078033447,G54.32151556015015,G54.276525259017944,G271.9960286617279,G326.2725546360016,G54.306312561035156,G54.30631184577942,G108.57580018043518,G54.533446311950684,G326.3720774650574,G54.14266061782837,G271.8059124946594,G54.45996379852295,G326.12481904029846,G54.21462440490723,G488.6259512901306,G54.15868377685547,G325.7646405696869,G381.3954427242279,G54.423142194747925,G598.7895240783691,G54.25117206573486,G271.92747807502747,G434.6905257701874,G54.34637975692749,G271.1544497013092,G54.57869625091553,G489.0284945964813,
Columbia Heights,,G108.82662677764893,G54.32567596435547,G271.4397671222687,G54.31696152687073,G217.13297820091248,G54.58955955505371,G54.47000288963318,G435.09191489219666,G217.53441190719604,G54.056349754333496,G54.056349992752075,G380.8014454841614,G435.16918182373047,G54.36773657798767,G217.12220668792725,G54.27444314956665,G325.6943542957306,G54.24228596687317,G271.4894380569458,G271.8400192260742,G54.303425550460815,G326.7481427192688,G381.12672781944275,G54.258354902267456,G217.57798647880554,G543.7625787258148,G54.34367346763611,G216.8095326423645,G54.57755470275879,G434.59191370010376,G54.30665421485901,G217.62986207008362,G54.46328854560852,
Congress Heights,,G54.22161245346069,G54.22161364555359,G325.8154275417328,G54.21943736076355,G380.0348663330078,G54.58067965507507,G272.07176446914673,G54.520416259765625,G326.06802678108215,G217.81678676605225,G54.112290143966675,G489.22258400917053,G54.126821517944336,G325.89680910110474,G543.2606086730957,G54.2554726600647,G54.255473136901855,G54.15388894081116,G54.453047037124634,G54.26922297477722,G271.7908139228821,G54.429543256759644,G217.97641348838806,G272.46647119522095,G54.240238666534424,G54.26704478263855,G380.8374936580658,G54.34388184547424,G163.4052448272705,G54.16661524772644,G488.8206362724304,G54.51190376281738,G488.89621782302856,G54.352267265319824,G108.64797067642212,G54.45606517791748,
Court House,,S54.26568865776062,S54.2212598323822,O597.6731598377228,O54.47208547592163,O54.34562540054321,S597.8388755321503,S54.516292333602905,S435.1714153289795,S54.458659172058105,O761.2911410331726,O54.112568616867065,O543.580819606781,O54.44288468360901,S543.3405106067657,S54.40025210380554,S54.372721910476685,O434.6281316280365,S706.1942081451416,S54.27390789985657,S54.152243852615356,O597.285313129425,O54.262343645095825,S488.89058899879456,S54.278242111206055,S272.0656478404999,S54.44256520271301,S54.627947092056274,O543.7369334697723,O54.508331298828125,O435.81462812423706,O54.23385715484619,O54.26967144012451,S489.80246758461,S489.74864864349365,S54.57412576675415,S54.1657235622406,S54.165724992752075,O652.2029368877411,O434.65301847457886,O54.288297176361084,O54.36646008491516,S543.2475135326385,S543.2475135326385,S54.45689415931702,S54.4568932056427,S54.45236563682556,O489.2283773422241,O54.40050745010376,O598.1995391845703,
Crystal City,,Y54.42257285118103,B54.42257571220398,B54.26770782470703,Y217.33639693260193,Y217.10798001289368,B271.42981934547424,B325.76356506347656,B54.57152533531189,Y489.15983271598816,Y489.3428645133972,Y54.38925099372864,Y217.25222945213318,B706.8911538124084,B598.1419425010681,B54.25028729438782,Y489.2091717720032,Y217.2759552001953,Y54.12948799133301,B597.4239873886108,Y815.1624960899353,Y162.89890909194946,Y54.28695559501648,Y54.14137840270996,B651.73481965065,B54.419848680496216,Y163.0204722881317,Y54.464258909225464,Y217.6254961490631,Y217.85406732559204,Y54.66841959953308,B653.0328977108002,B54.248820304870605,B544.1674513816833,B54.49110150337219,Y544.2531521320343,Y54.570871114730835,Y380.583678483963,B326.0822014808655,B54.352797508239746,Y216.9662618637085,Y434.26177406311035,Y54.51494359970093,Y108.63801956176758,B760.7811975479126,Y54.45458960533142,B54.4557466506958,Y543.5141847133636,Y54.39032196998596,Y163.0014419555664,Y54.376216411590576,
